colour	x	xend	y	yend	tooltip	showSelected1	PANEL
#FFE7DE	-0.0302000769005074	0.210985323246747	3	3	0.125236456577382	Free.and.Reduced.Lunch.Students..Public.School..median	1
#FDFBFF	-0.0302000769005074	0.210985323246747	3	3	-0.0169279393980604	Free.Reduced.Lunch.Rate.min	1
#FFF7F4	-0.0302000769005074	0.210985323246747	3	3	0.0437898581369358	Free.Reduced.Lunch.Rate.max	1
#FFFFFF	-0.0302000769005074	0.210985323246747	3	3	-0.000796398204935201	Free.Reduced.Lunch.Rate.mean	1
#FFF7F4	-0.0302000769005074	0.210985323246747	3	3	0.0435857690990535	Free.Reduced.Lunch.Rate.sd	1
#FDFCFF	-0.0302000769005074	0.210985323246747	3	3	-0.0140361798891211	Free.Reduced.Lunch.Rate.median	1
#FFF5F1	-0.0302000769005074	0.210985323246747	3	3	0.0518413670498867	City..Large	1
#FBF9FF	-0.0302000769005074	0.210985323246747	3	3	-0.0266890042953584	Rural..Distant	1
#EBDCFF	-0.0302000769005074	0.210985323246747	3	3	-0.14815019903819	Rural..Remote	1
#FFEBE4	-0.0302000769005074	0.210985323246747	3	3	0.103137765143171	Suburb..Large	1
#FFEAE3	-0.0302000769005074	0.210985323246747	3	3	0.10876202295212	Town..Distant	1
#FFF4F0	-0.0302000769005074	0.210985323246747	1	1	0.0568441245802079	Designate.district.level.contact.person.	2
#FFF3EE	-0.0302000769005074	0.210985323246747	1	1	0.0639984956919891	Administer.implementation.survey..e.g..Collabor...	2
#FFE1D6	-0.0302000769005074	0.210985323246747	1	1	0.159175768650379	Use.technology.to.increase.the.quality.and.time...	2
#FFD7C8	-0.0302000769005074	0.210985323246747	1	1	0.211209764670603	Participate.in.regional..cadre..and.state.event...	2
#FFE2D7	-0.0302000769005074	0.210985323246747	1	1	0.152917536100845	Annually..summarize.district.wide.fidelity.and....	2
#FFCBB9	-0.0302000769005074	0.210985323246747	1	1	0.270855169819461	Align.implementation.goals.with.CSIP..Comprehen...	2
#FFCCBB	-0.0302000769005074	0.210985323246747	1	1	0.264161178533677	CFA_avg	2
#FFD5C7	-0.0302000769005074	0.210985323246747	1	1	0.217826702073053	ETLP_avg	2
#FFD1C1	-0.0302000769005074	0.210985323246747	1	1	0.241364113422133	DBDM_avg	2
#FFF2ED	-0.0302000769005074	0.210985323246747	1	1	0.0675403963761145	PD_avg	2
#FFEBE4	-0.0302000769005074	0.210985323246747	1	1	0.102469680914532	Leadership_avg	2
#FF8564	-0.0302000769005074	0.210985323246747	1	1	0.621530622716046	Total.Students..All.Grades..Excludes.AE...Public.School..mean	2
#FF5737	-0.0302000769005074	0.210985323246747	1	1	0.814609968184694	Total.Students..All.Grades..Excludes.AE...Public.School..sd	2
#FF9C7F	-0.0302000769005074	0.210985323246747	1	1	0.511264849170019	Total.Students..All.Grades..Excludes.AE...Public.School..median	2
#F9F5FF	-0.0302000769005074	0.210985323246747	1	1	-0.0429262487522449	Full.Time.Equivalent..FTE..Teachers..Public.School..min	2
