label	group	x	y
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.Reduced.Lunch.Rate.sd	-1	0	0
Free.and.Reduced.Lunch.Students..Public.School..sd	-1	0	0
Free.and.Reduced.Lunch.Students..Public.School..sd	-1	0	0
