x	y	label	showSelected1	group
2	3	Common.formative.assessment	Data.based.decision.making	12
2	28	Common.formative.assessment	Effective.teaching.learning.practices	13
2	19	Common.formative.assessment	Instructional.Leadership	14
2	12	Common.formative.assessment	School.based.implementation.coaching	15
2	8	Common.formative.assessment	Collective.teacher.efficacy	16
2	21	Common.formative.assessment	MMD.DCI.expectations.logistics.DESE.specifics	17
2	28	Common.formative.assessment	Alignment.and.systems.planning	18
2	29	Common.formative.assessment	Practice.profiles	19
2	27	Common.formative.assessment	Self.assessment.practice.profile..SAPP.	20
2	9	Common.formative.assessment	Learning.module.materials..i.e..power.points..handouts.	21
2	25	Common.formative.assessment	DESE.virtual.learning.platform	22
2	2	Common.formative.assessment	Review.of.CFA.data	23
2	17	Common.formative.assessment	CWIS	24
2	11	Common.formative.assessment	Distance.Learning	25
2	27	Common.formative.assessment	Virtual.Learning.Modules.and.or.PowerPoints	26
2	23	Common.formative.assessment	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	27
2	9	Common.formative.assessment	Interaction.Type_Virtual	28
2	19	Common.formative.assessment	Interaction.Type_In-person	29
2	11	Common.formative.assessment	Interaction.Type_In-person and virtual	30
2	24	Common.formative.assessment	Interaction.Type_Phone	31
2	29	Common.formative.assessment	Interaction.Type_Unknown	32
2	10	DESE.virtual.learning.platform	District.Leadership.Team.Members	1
2	4	DESE.virtual.learning.platform	District.Contact.Person	2
2	29	DESE.virtual.learning.platform	Building.Leadership.Team.Members	3
2	16	DESE.virtual.learning.platform	Other.District.Administrators	4
2	11	DESE.virtual.learning.platform	Other.Building.Administrators	5
2	11	DESE.virtual.learning.platform	Building.level.Educators	6
2	7	DESE.virtual.learning.platform	RPDC.Director	7
2	5	DESE.virtual.learning.platform	Area.Supervisor	8
2	29	DESE.virtual.learning.platform	Parents	9
2	9	DESE.virtual.learning.platform	Collaborative.teams	10
2	16	DESE.virtual.learning.platform	Common.formative.assessment	11
2	11	DESE.virtual.learning.platform	Data.based.decision.making	12
2	25	DESE.virtual.learning.platform	Effective.teaching.learning.practices	13
2	9	DESE.virtual.learning.platform	Instructional.Leadership	14
2	8	DESE.virtual.learning.platform	School.based.implementation.coaching	15
2	10	DESE.virtual.learning.platform	Collective.teacher.efficacy	16
2	3	DESE.virtual.learning.platform	MMD.DCI.expectations.logistics.DESE.specifics	17
2	3	DESE.virtual.learning.platform	Alignment.and.systems.planning	18
2	4	DESE.virtual.learning.platform	Practice.profiles	19
2	3	DESE.virtual.learning.platform	Self.assessment.practice.profile..SAPP.	20
2	3	DESE.virtual.learning.platform	Learning.module.materials..i.e..power.points..handouts.	21
2	1	DESE.virtual.learning.platform	DESE.virtual.learning.platform	22
2	28	DESE.virtual.learning.platform	Review.of.CFA.data	23
2	6	DESE.virtual.learning.platform	CWIS	24
2	5	DESE.virtual.learning.platform	Distance.Learning	25
2	5	DESE.virtual.learning.platform	Virtual.Learning.Modules.and.or.PowerPoints	26
2	28	DESE.virtual.learning.platform	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	27
2	7	DESE.virtual.learning.platform	Interaction.Type_Virtual	28
2	7	DESE.virtual.learning.platform	Interaction.Type_In-person	29
2	12	DESE.virtual.learning.platform	Interaction.Type_In-person and virtual	30
2	9	DESE.virtual.learning.platform	Interaction.Type_Phone	31
2	8	DESE.virtual.learning.platform	Interaction.Type_Unknown	32
2	18	Data.based.decision.making	District.Leadership.Team.Members	1
2	20	Data.based.decision.making	District.Contact.Person	2
2	7	Data.based.decision.making	Building.Leadership.Team.Members	3
2	22	Data.based.decision.making	Other.District.Administrators	4
2	20	Data.based.decision.making	Other.Building.Administrators	5
2	27	Data.based.decision.making	Building.level.Educators	6
2	26	Data.based.decision.making	RPDC.Director	7
2	24	Data.based.decision.making	Area.Supervisor	8
2	13	Data.based.decision.making	Parents	9
2	2	Data.based.decision.making	Collaborative.teams	10
2	4	Data.based.decision.making	Common.formative.assessment	11
2	1	Data.based.decision.making	Data.based.decision.making	12
2	19	Data.based.decision.making	Effective.teaching.learning.practices	13
2	5	Data.based.decision.making	Instructional.Leadership	14
2	7	Data.based.decision.making	School.based.implementation.coaching	15
2	6	Data.based.decision.making	Collective.teacher.efficacy	16
2	30	Data.based.decision.making	MMD.DCI.expectations.logistics.DESE.specifics	17
2	19	Data.based.decision.making	Alignment.and.systems.planning	18
2	15	Data.based.decision.making	Practice.profiles	19
2	10	Data.based.decision.making	Self.assessment.practice.profile..SAPP.	20
2	30	Data.based.decision.making	Learning.module.materials..i.e..power.points..handouts.	21
2	21	Data.based.decision.making	DESE.virtual.learning.platform	22
2	5	Data.based.decision.making	Review.of.CFA.data	23
2	30	Data.based.decision.making	CWIS	24
2	9	Data.based.decision.making	Distance.Learning	25
2	29	Data.based.decision.making	Virtual.Learning.Modules.and.or.PowerPoints	26
2	19	Data.based.decision.making	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	27
2	20	Data.based.decision.making	Interaction.Type_Virtual	28
2	21	Data.based.decision.making	Interaction.Type_In-person	29
2	24	Data.based.decision.making	Interaction.Type_In-person and virtual	30
2	27	Data.based.decision.making	Interaction.Type_Phone	31
2	21	Data.based.decision.making	Interaction.Type_Unknown	32
2	22	Distance.Learning	District.Leadership.Team.Members	1
2	19	Distance.Learning	District.Contact.Person	2
2	20	Distance.Learning	Building.Leadership.Team.Members	3
2	29	Distance.Learning	Other.District.Administrators	4
2	15	Distance.Learning	Other.Building.Administrators	5
2	22	Distance.Learning	Building.level.Educators	6
2	20	Distance.Learning	RPDC.Director	7
2	13	Distance.Learning	Area.Supervisor	8
2	19	Distance.Learning	Parents	9
2	11	Distance.Learning	Collaborative.teams	10
2	14	Distance.Learning	Common.formative.assessment	11
2	12	Distance.Learning	Data.based.decision.making	12
2	7	Distance.Learning	Effective.teaching.learning.practices	13
2	23	Distance.Learning	Instructional.Leadership	14
2	6	Distance.Learning	School.based.implementation.coaching	15
2	2	Distance.Learning	Collective.teacher.efficacy	16
2	13	Distance.Learning	MMD.DCI.expectations.logistics.DESE.specifics	17
2	29	Distance.Learning	Alignment.and.systems.planning	18
2	20	Distance.Learning	Practice.profiles	19
2	24	Distance.Learning	Self.assessment.practice.profile..SAPP.	20
2	29	Distance.Learning	Learning.module.materials..i.e..power.points..handouts.	21
2	11	Distance.Learning	DESE.virtual.learning.platform	22
2	8	Distance.Learning	Review.of.CFA.data	23
2	27	Distance.Learning	CWIS	24
2	1	Distance.Learning	Distance.Learning	25
2	2	Distance.Learning	Virtual.Learning.Modules.and.or.PowerPoints	26
2	26	Distance.Learning	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	27
2	26	Distance.Learning	Interaction.Type_Virtual	28
2	17	Distance.Learning	Interaction.Type_In-person	29
2	18	Distance.Learning	Interaction.Type_In-person and virtual	30
2	23	Distance.Learning	Interaction.Type_Phone	31
2	22	Distance.Learning	Interaction.Type_Unknown	32
2	4	District.Contact.Person	District.Leadership.Team.Members	1
2	1	District.Contact.Person	District.Contact.Person	2
2	13	District.Contact.Person	Building.Leadership.Team.Members	3
2	19	District.Contact.Person	Other.District.Administrators	4
2	4	District.Contact.Person	Other.Building.Administrators	5
2	10	District.Contact.Person	Building.level.Educators	6
2	28	District.Contact.Person	RPDC.Director	7
2	12	District.Contact.Person	Area.Supervisor	8
2	7	District.Contact.Person	Parents	9
2	12	District.Contact.Person	Collaborative.teams	10
2	6	District.Contact.Person	Common.formative.assessment	11
2	13	District.Contact.Person	Data.based.decision.making	12
2	18	District.Contact.Person	Effective.teaching.learning.practices	13
2	21	District.Contact.Person	Instructional.Leadership	14
2	24	District.Contact.Person	School.based.implementation.coaching	15
2	18	District.Contact.Person	Collective.teacher.efficacy	16
2	6	District.Contact.Person	MMD.DCI.expectations.logistics.DESE.specifics	17
2	8	District.Contact.Person	Alignment.and.systems.planning	18
2	9	District.Contact.Person	Practice.profiles	19
2	7	District.Contact.Person	Self.assessment.practice.profile..SAPP.	20
2	22	District.Contact.Person	Learning.module.materials..i.e..power.points..handouts.	21
2	8	District.Contact.Person	DESE.virtual.learning.platform	22
2	7	District.Contact.Person	Review.of.CFA.data	23
2	4	District.Contact.Person	CWIS	24
2	10	District.Contact.Person	Distance.Learning	25
2	30	District.Contact.Person	Virtual.Learning.Modules.and.or.PowerPoints	26
2	5	District.Contact.Person	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	27
2	2	District.Contact.Person	Interaction.Type_Virtual	28
2	1	District.Contact.Person	Interaction.Type_In-person	29
2	4	District.Contact.Person	Interaction.Type_In-person and virtual	30
2	5	District.Contact.Person	Interaction.Type_Phone	31
2	3	District.Contact.Person	Interaction.Type_Unknown	32
2	1	District.Leadership.Team.Members	District.Leadership.Team.Members	1
2	5	District.Leadership.Team.Members	District.Contact.Person	2
2	4	District.Leadership.Team.Members	Building.Leadership.Team.Members	3
2	8	District.Leadership.Team.Members	Other.District.Administrators	4
2	17	District.Leadership.Team.Members	Other.Building.Administrators	5
2	8	District.Leadership.Team.Members	Building.level.Educators	6
2	24	District.Leadership.Team.Members	RPDC.Director	7
2	30	District.Leadership.Team.Members	Area.Supervisor	8
2	20	District.Leadership.Team.Members	Parents	9
2	13	District.Leadership.Team.Members	Collaborative.teams	10
2	30	District.Leadership.Team.Members	Common.formative.assessment	11
2	14	District.Leadership.Team.Members	Data.based.decision.making	12
2	6	District.Leadership.Team.Members	Effective.teaching.learning.practices	13
2	26	District.Leadership.Team.Members	Instructional.Leadership	14
2	15	District.Leadership.Team.Members	School.based.implementation.coaching	15
2	28	District.Leadership.Team.Members	Collective.teacher.efficacy	16
2	24	District.Leadership.Team.Members	MMD.DCI.expectations.logistics.DESE.specifics	17
2	10	District.Leadership.Team.Members	Alignment.and.systems.planning	18
2	6	District.Leadership.Team.Members	Practice.profiles	19
2	5	District.Leadership.Team.Members	Self.assessment.practice.profile..SAPP.	20
2	10	District.Leadership.Team.Members	Learning.module.materials..i.e..power.points..handouts.	21
2	12	District.Leadership.Team.Members	DESE.virtual.learning.platform	22
2	22	District.Leadership.Team.Members	Review.of.CFA.data	23
2	8	District.Leadership.Team.Members	CWIS	24
2	20	District.Leadership.Team.Members	Distance.Learning	25
2	24	District.Leadership.Team.Members	Virtual.Learning.Modules.and.or.PowerPoints	26
2	17	District.Leadership.Team.Members	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	27
2	5	District.Leadership.Team.Members	Interaction.Type_Virtual	28
2	8	District.Leadership.Team.Members	Interaction.Type_In-person	29
2	7	District.Leadership.Team.Members	Interaction.Type_In-person and virtual	30
2	2	District.Leadership.Team.Members	Interaction.Type_Phone	31
2	15	District.Leadership.Team.Members	Interaction.Type_Unknown	32
2	5	Effective.teaching.learning.practices	District.Leadership.Team.Members	1
2	22	Effective.teaching.learning.practices	District.Contact.Person	2
2	3	Effective.teaching.learning.practices	Building.Leadership.Team.Members	3
2	18	Effective.teaching.learning.practices	Other.District.Administrators	4
2	12	Effective.teaching.learning.practices	Other.Building.Administrators	5
2	4	Effective.teaching.learning.practices	Building.level.Educators	6
2	18	Effective.teaching.learning.practices	RPDC.Director	7
2	29	Effective.teaching.learning.practices	Area.Supervisor	8
2	12	Effective.teaching.learning.practices	Parents	9
2	15	Effective.teaching.learning.practices	Collaborative.teams	10
2	25	Effective.teaching.learning.practices	Common.formative.assessment	11
2	15	Effective.teaching.learning.practices	Data.based.decision.making	12
2	1	Effective.teaching.learning.practices	Effective.teaching.learning.practices	13
2	20	Effective.teaching.learning.practices	Instructional.Leadership	14
2	3	Effective.teaching.learning.practices	School.based.implementation.coaching	15
2	13	Effective.teaching.learning.practices	Collective.teacher.efficacy	16
2	14	Effective.teaching.learning.practices	MMD.DCI.expectations.logistics.DESE.specifics	17
2	25	Effective.teaching.learning.practices	Alignment.and.systems.planning	18
2	5	Effective.teaching.learning.practices	Practice.profiles	19
2	16	Effective.teaching.learning.practices	Self.assessment.practice.profile..SAPP.	20
2	13	Effective.teaching.learning.practices	Learning.module.materials..i.e..power.points..handouts.	21
2	26	Effective.teaching.learning.practices	DESE.virtual.learning.platform	22
2	11	Effective.teaching.learning.practices	Review.of.CFA.data	23
2	15	Effective.teaching.learning.practices	CWIS	24
2	6	Effective.teaching.learning.practices	Distance.Learning	25
2	26	Effective.teaching.learning.practices	Virtual.Learning.Modules.and.or.PowerPoints	26
2	12	Effective.teaching.learning.practices	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	27
2	29	Effective.teaching.learning.practices	Interaction.Type_Virtual	28
2	15	Effective.teaching.learning.practices	Interaction.Type_In-person	29
2	6	Effective.teaching.learning.practices	Interaction.Type_In-person and virtual	30
2	18	Effective.teaching.learning.practices	Interaction.Type_Phone	31
2	23	Effective.teaching.learning.practices	Interaction.Type_Unknown	32
2	28	Instructional.Leadership	District.Leadership.Team.Members	1
2	28	Instructional.Leadership	District.Contact.Person	2
2	30	Instructional.Leadership	Building.Leadership.Team.Members	3
2	30	Instructional.Leadership	Other.District.Administrators	4
2	27	Instructional.Leadership	Other.Building.Administrators	5
2	15	Instructional.Leadership	Building.level.Educators	6
2	11	Instructional.Leadership	RPDC.Director	7
2	11	Instructional.Leadership	Area.Supervisor	8
2	5	Instructional.Leadership	Parents	9
2	7	Instructional.Leadership	Collaborative.teams	10
2	18	Instructional.Leadership	Common.formative.assessment	11
2	5	Instructional.Leadership	Data.based.decision.making	12
2	24	Instructional.Leadership	Effective.teaching.learning.practices	13
2	1	Instructional.Leadership	Instructional.Leadership	14
2	4	Instructional.Leadership	School.based.implementation.coaching	15
2	11	Instructional.Leadership	Collective.teacher.efficacy	16
