x	y	label	clickSelects	showSelected1	group
2	13.7	Collective.teacher.efficacy	Collective.teacher.efficacy	Interaction.Type_Phone	191
2	19.7	Collective.teacher.efficacy	Collective.teacher.efficacy	Interaction.Type_Unknown	192
2	28.7	Common.formative.assessment	Common.formative.assessment	District.Leadership.Team.Members	193
2	14.7	Common.formative.assessment	Common.formative.assessment	District.Contact.Person	194
2	15.7	Common.formative.assessment	Common.formative.assessment	Building.Leadership.Team.Members	195
2	25.7	Common.formative.assessment	Common.formative.assessment	Other.District.Administrators	196
2	9.7	Common.formative.assessment	Common.formative.assessment	Other.Building.Administrators	197
2	6.7	Common.formative.assessment	Common.formative.assessment	Building.level.Educators	198
2	15.7	Common.formative.assessment	Common.formative.assessment	RPDC.Director	199
2	18.7	Common.formative.assessment	Common.formative.assessment	Area.Supervisor	200
2	15.7	Common.formative.assessment	Common.formative.assessment	Parents	201
2	2.7	Common.formative.assessment	Common.formative.assessment	Collaborative.teams	202
2	0.7	Common.formative.assessment	Common.formative.assessment	Common.formative.assessment	203
2	2.7	Common.formative.assessment	Common.formative.assessment	Data.based.decision.making	204
2	27.7	Common.formative.assessment	Common.formative.assessment	Effective.teaching.learning.practices	205
2	18.7	Common.formative.assessment	Common.formative.assessment	Instructional.Leadership	206
2	11.7	Common.formative.assessment	Common.formative.assessment	School.based.implementation.coaching	207
2	7.7	Common.formative.assessment	Common.formative.assessment	Collective.teacher.efficacy	208
2	20.7	Common.formative.assessment	Common.formative.assessment	MMD.DCI.expectations.logistics.DESE.specifics	209
2	27.7	Common.formative.assessment	Common.formative.assessment	Alignment.and.systems.planning	210
2	28.7	Common.formative.assessment	Common.formative.assessment	Practice.profiles	211
2	26.7	Common.formative.assessment	Common.formative.assessment	Self.assessment.practice.profile..SAPP.	212
2	8.7	Common.formative.assessment	Common.formative.assessment	Learning.module.materials..i.e..power.points..handouts.	213
2	24.7	Common.formative.assessment	Common.formative.assessment	DESE.virtual.learning.platform	214
2	1.7	Common.formative.assessment	Common.formative.assessment	Review.of.CFA.data	215
2	16.7	Common.formative.assessment	Common.formative.assessment	CWIS	216
2	10.7	Common.formative.assessment	Common.formative.assessment	Distance.Learning	217
2	26.7	Common.formative.assessment	Common.formative.assessment	Virtual.Learning.Modules.and.or.PowerPoints	218
2	22.7	Common.formative.assessment	Common.formative.assessment	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	219
2	8.7	Common.formative.assessment	Common.formative.assessment	Interaction.Type_Virtual	220
2	18.7	Common.formative.assessment	Common.formative.assessment	Interaction.Type_In-person	221
2	10.7	Common.formative.assessment	Common.formative.assessment	Interaction.Type_In-person and virtual	222
2	23.7	Common.formative.assessment	Common.formative.assessment	Interaction.Type_Phone	223
2	28.7	Common.formative.assessment	Common.formative.assessment	Interaction.Type_Unknown	224
2	9.7	DESE.virtual.learning.platform	DESE.virtual.learning.platform	District.Leadership.Team.Members	289
2	3.7	DESE.virtual.learning.platform	DESE.virtual.learning.platform	District.Contact.Person	290
2	28.7	DESE.virtual.learning.platform	DESE.virtual.learning.platform	Building.Leadership.Team.Members	291
2	15.7	DESE.virtual.learning.platform	DESE.virtual.learning.platform	Other.District.Administrators	292
2	10.7	DESE.virtual.learning.platform	DESE.virtual.learning.platform	Other.Building.Administrators	293
2	10.7	DESE.virtual.learning.platform	DESE.virtual.learning.platform	Building.level.Educators	294
2	6.7	DESE.virtual.learning.platform	DESE.virtual.learning.platform	RPDC.Director	295
2	4.7	DESE.virtual.learning.platform	DESE.virtual.learning.platform	Area.Supervisor	296
2	28.7	DESE.virtual.learning.platform	DESE.virtual.learning.platform	Parents	297
2	8.7	DESE.virtual.learning.platform	DESE.virtual.learning.platform	Collaborative.teams	298
2	15.7	DESE.virtual.learning.platform	DESE.virtual.learning.platform	Common.formative.assessment	299
2	10.7	DESE.virtual.learning.platform	DESE.virtual.learning.platform	Data.based.decision.making	300
2	24.7	DESE.virtual.learning.platform	DESE.virtual.learning.platform	Effective.teaching.learning.practices	301
2	8.7	DESE.virtual.learning.platform	DESE.virtual.learning.platform	Instructional.Leadership	302
2	7.7	DESE.virtual.learning.platform	DESE.virtual.learning.platform	School.based.implementation.coaching	303
2	9.7	DESE.virtual.learning.platform	DESE.virtual.learning.platform	Collective.teacher.efficacy	304
2	2.7	DESE.virtual.learning.platform	DESE.virtual.learning.platform	MMD.DCI.expectations.logistics.DESE.specifics	305
2	2.7	DESE.virtual.learning.platform	DESE.virtual.learning.platform	Alignment.and.systems.planning	306
2	3.7	DESE.virtual.learning.platform	DESE.virtual.learning.platform	Practice.profiles	307
2	2.7	DESE.virtual.learning.platform	DESE.virtual.learning.platform	Self.assessment.practice.profile..SAPP.	308
2	2.7	DESE.virtual.learning.platform	DESE.virtual.learning.platform	Learning.module.materials..i.e..power.points..handouts.	309
2	0.7	DESE.virtual.learning.platform	DESE.virtual.learning.platform	DESE.virtual.learning.platform	310
2	27.7	DESE.virtual.learning.platform	DESE.virtual.learning.platform	Review.of.CFA.data	311
2	5.7	DESE.virtual.learning.platform	DESE.virtual.learning.platform	CWIS	312
2	4.7	DESE.virtual.learning.platform	DESE.virtual.learning.platform	Distance.Learning	313
2	4.7	DESE.virtual.learning.platform	DESE.virtual.learning.platform	Virtual.Learning.Modules.and.or.PowerPoints	314
2	27.7	DESE.virtual.learning.platform	DESE.virtual.learning.platform	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	315
2	6.7	DESE.virtual.learning.platform	DESE.virtual.learning.platform	Interaction.Type_Virtual	316
