x	y	label	tooltip	clickSelects	showSelected1	group
2	-28.3	Collective.teacher.efficacy	-0.0158834945516054	Collective.teacher.efficacy	Review.of.CFA.data	188
2	-22.3	Collective.teacher.efficacy	0.0906039434171029	Collective.teacher.efficacy	CWIS	189
2	-25.3	Collective.teacher.efficacy	-0.0275430246322705	Collective.teacher.efficacy	Distance.Learning	190
2	-25.3	Collective.teacher.efficacy	-0.0542641984509346	Collective.teacher.efficacy	Virtual.Learning.Modules.and.or.PowerPoints	191
2	-5.3	Collective.teacher.efficacy	0.10518076273055	Collective.teacher.efficacy	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	192
2	-22.3	Collective.teacher.efficacy	-0.0473013603112685	Collective.teacher.efficacy	Interaction.Type_Virtual	193
2	-28.3	Collective.teacher.efficacy	0.0530552974238114	Collective.teacher.efficacy	Interaction.Type_In-person	194
2	-19.3	Collective.teacher.efficacy	-0.0500138885863598	Collective.teacher.efficacy	Interaction.Type_In-person and virtual	195
2	-19.3	Collective.teacher.efficacy	-0.0572848498602833	Collective.teacher.efficacy	Interaction.Type_Phone	196
2	-30.3	Collective.teacher.efficacy	-0.00310060206492198	Collective.teacher.efficacy	Interaction.Type_Unknown	197
2	-24.3	Collective.teacher.efficacy	-0.0438163092078191	Collective.teacher.efficacy	ETLP_avg	198
2	-25.3	Common.formative.assessment	-0.0658763512778809	Common.formative.assessment	District.Leadership.Team.Members	199
2	-16.3	Common.formative.assessment	-0.120953788016363	Common.formative.assessment	District.Contact.Person	200
2	-16.3	Common.formative.assessment	0.0843454631840821	Common.formative.assessment	Building.Leadership.Team.Members	201
2	-29.3	Common.formative.assessment	-0.0119305575982421	Common.formative.assessment	Other.District.Administrators	202
2	-4.3	Common.formative.assessment	0.213367615377182	Common.formative.assessment	Other.Building.Administrators	203
2	-11.3	Common.formative.assessment	0.147655060022446	Common.formative.assessment	Building.level.Educators	204
2	-18.3	Common.formative.assessment	-0.0564493437606311	Common.formative.assessment	RPDC.Director	205
2	-21.3	Common.formative.assessment	-0.0377063428758349	Common.formative.assessment	Area.Supervisor	206
2	-4.3	Common.formative.assessment	-0.0826378069463276	Common.formative.assessment	Parents	207
2	-2.3	Common.formative.assessment	0.433805112390646	Common.formative.assessment	Collaborative.teams	208
2	-1.3	Common.formative.assessment	1	Common.formative.assessment	Common.formative.assessment	209
2	-3.3	Common.formative.assessment	0.299618052222079	Common.formative.assessment	Data.based.decision.making	210
2	-29.3	Common.formative.assessment	-0.0178900750340591	Common.formative.assessment	Effective.teaching.learning.practices	211
2	-10.3	Common.formative.assessment	0.122158297102111	Common.formative.assessment	Instructional.Leadership	212
2	-25.3	Common.formative.assessment	0.0301479586942985	Common.formative.assessment	School.based.implementation.coaching	213
2	-15.3	Common.formative.assessment	0.0622389409302433	Common.formative.assessment	Collective.teacher.efficacy	214
2	-28.3	Common.formative.assessment	-0.0256569827754118	Common.formative.assessment	MMD.DCI.expectations.logistics.DESE.specifics	215
2	-22.3	Common.formative.assessment	-0.0515599772788794	Common.formative.assessment	Alignment.and.systems.planning	216
2	-15.3	Common.formative.assessment	0.12699828043126	Common.formative.assessment	Practice.profiles	217
2	-25.3	Common.formative.assessment	0.0641008507652546	Common.formative.assessment	Self.assessment.practice.profile..SAPP.	218
2	-11.3	Common.formative.assessment	0.134757872495943	Common.formative.assessment	Learning.module.materials..i.e..power.points..handouts.	219
2	-19.3	Common.formative.assessment	0.105388541553633	Common.formative.assessment	DESE.virtual.learning.platform	220
2	-2.3	Common.formative.assessment	0.295855047071899	Common.formative.assessment	Review.of.CFA.data	221
2	-27.3	Common.formative.assessment	-0.0532398592844345	Common.formative.assessment	CWIS	222
2	-24.3	Common.formative.assessment	-0.027830273286391	Common.formative.assessment	Distance.Learning	223
2	-21.3	Common.formative.assessment	-0.114042325376359	Common.formative.assessment	Virtual.Learning.Modules.and.or.PowerPoints	224
2	-27.3	Common.formative.assessment	0.00975758489466233	Common.formative.assessment	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	225
2	-18.3	Common.formative.assessment	0.0536946971177334	Common.formative.assessment	Interaction.Type_Virtual	226
2	-19.3	Common.formative.assessment	0.119714004166336	Common.formative.assessment	Interaction.Type_In-person	227
2	-22.3	Common.formative.assessment	0.037758540624974	Common.formative.assessment	Interaction.Type_In-person and virtual	228
2	-14.3	Common.formative.assessment	0.0713264634094123	Common.formative.assessment	Interaction.Type_Phone	229
2	-10.3	Common.formative.assessment	0.069741476818616	Common.formative.assessment	Interaction.Type_Unknown	230
2	-5.3	Common.formative.assessment	-0.131014808931136	Common.formative.assessment	ETLP_avg	231
2	-4.3	DESE.virtual.learning.platform	0.315216816808566	DESE.virtual.learning.platform	District.Leadership.Team.Members	298
2	-3.3	DESE.virtual.learning.platform	0.363575728505619	DESE.virtual.learning.platform	District.Contact.Person	299
