x	y	label	angle	showSelected1	showSelected2	group
0	0.25	Area.Supervisor	90	Other.District.Administrators	Area.Supervisor	101
0	0.25	Area.Supervisor	90	Other.Building.Administrators	Area.Supervisor	134
0	0.25	Area.Supervisor	90	Building.level.Educators	Area.Supervisor	167
0	0.25	Area.Supervisor	90	RPDC.Director	Area.Supervisor	200
0	0.25	Area.Supervisor	90	Area.Supervisor	Area.Supervisor	233
0	0.25	Area.Supervisor	90	Parents	Area.Supervisor	266
0	0.25	Area.Supervisor	90	Collaborative.teams	Area.Supervisor	299
0	0.25	Area.Supervisor	90	Common.formative.assessment	Area.Supervisor	332
0	0.25	Area.Supervisor	90	Data.based.decision.making	Area.Supervisor	365
0	0.25	Area.Supervisor	90	Effective.teaching.learning.practices	Area.Supervisor	398
0	0.25	Area.Supervisor	90	Instructional.Leadership	Area.Supervisor	431
0	0.25	Area.Supervisor	90	School.based.implementation.coaching	Area.Supervisor	464
0	0.25	Area.Supervisor	90	Collective.teacher.efficacy	Area.Supervisor	497
0	0.25	Area.Supervisor	90	MMD.DCI.expectations.logistics.DESE.specifics	Area.Supervisor	530
0	0.25	Area.Supervisor	90	Alignment.and.systems.planning	Area.Supervisor	563
0	0.25	Area.Supervisor	90	Practice.profiles	Area.Supervisor	596
0	0.25	Area.Supervisor	90	Self.assessment.practice.profile..SAPP.	Area.Supervisor	629
0	0.25	Area.Supervisor	90	Learning.module.materials..i.e..power.points..handouts.	Area.Supervisor	662
0	0.25	Area.Supervisor	90	DESE.virtual.learning.platform	Area.Supervisor	695
0	0.25	Area.Supervisor	90	Review.of.CFA.data	Area.Supervisor	728
0	0.25	Area.Supervisor	90	CWIS	Area.Supervisor	761
0	0.25	Area.Supervisor	90	Distance.Learning	Area.Supervisor	794
0	0.25	Area.Supervisor	90	Virtual.Learning.Modules.and.or.PowerPoints	Area.Supervisor	827
0	0.25	Area.Supervisor	90	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	Area.Supervisor	860
0	0.25	Area.Supervisor	90	Interaction.Type_Virtual	Area.Supervisor	893
0	0.25	Area.Supervisor	90	Interaction.Type_In-person	Area.Supervisor	926
0	0.25	Area.Supervisor	90	Interaction.Type_In-person and virtual	Area.Supervisor	959
0	0.25	Area.Supervisor	90	Interaction.Type_Phone	Area.Supervisor	992
0	0.25	Area.Supervisor	90	Interaction.Type_Unknown	Area.Supervisor	1025
2.42857142857143	0.25	Area.Supervisor	90	ETLP_avg	Area.Supervisor	1058
0	0.0833333333333335	Parents	90	District.Leadership.Team.Members	Parents	27
0	0.0833333333333335	Parents	90	District.Contact.Person	Parents	60
0	0.0833333333333335	Parents	90	Building.Leadership.Team.Members	Parents	93
0	0.0833333333333335	Parents	90	Other.District.Administrators	Parents	126
0	0.0833333333333335	Parents	90	Other.Building.Administrators	Parents	159
0	0.0833333333333335	Parents	90	Building.level.Educators	Parents	192
0	0.0833333333333335	Parents	90	RPDC.Director	Parents	225
0	0.0833333333333335	Parents	90	Area.Supervisor	Parents	258
0	0.0833333333333335	Parents	90	Parents	Parents	291
0	0.0833333333333335	Parents	90	Collaborative.teams	Parents	324
0	0.0833333333333335	Parents	90	Common.formative.assessment	Parents	357
0	0.0833333333333335	Parents	90	Data.based.decision.making	Parents	390
0	0.0833333333333335	Parents	90	Effective.teaching.learning.practices	Parents	423
0	0.0833333333333335	Parents	90	Instructional.Leadership	Parents	456
0	0.0833333333333335	Parents	90	School.based.implementation.coaching	Parents	489
0	0.0833333333333335	Parents	90	Collective.teacher.efficacy	Parents	522
0	0.0833333333333335	Parents	90	MMD.DCI.expectations.logistics.DESE.specifics	Parents	555
0	0.0833333333333335	Parents	90	Alignment.and.systems.planning	Parents	588
0	0.0833333333333335	Parents	90	Practice.profiles	Parents	621
0	0.0833333333333335	Parents	90	Self.assessment.practice.profile..SAPP.	Parents	654
0	0.0833333333333335	Parents	90	Learning.module.materials..i.e..power.points..handouts.	Parents	687
0	0.0833333333333335	Parents	90	DESE.virtual.learning.platform	Parents	720
0	0.0833333333333335	Parents	90	Review.of.CFA.data	Parents	753
0	0.0833333333333335	Parents	90	CWIS	Parents	786
0	0.0833333333333335	Parents	90	Distance.Learning	Parents	819
0	0.0833333333333335	Parents	90	Virtual.Learning.Modules.and.or.PowerPoints	Parents	852
0	0.0833333333333335	Parents	90	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	Parents	885
0	0.0833333333333335	Parents	90	Interaction.Type_Virtual	Parents	918
0	0.0833333333333335	Parents	90	Interaction.Type_In-person	Parents	951
0	0.0833333333333335	Parents	90	Interaction.Type_In-person and virtual	Parents	984
0	0.0833333333333335	Parents	90	Interaction.Type_Phone	Parents	1017
0	0.0833333333333335	Parents	90	Interaction.Type_Unknown	Parents	1050
2.42857142857143	0.0833333333333335	Parents	90	ETLP_avg	Parents	1083
0	0.5	Collaborative.teams	90	District.Leadership.Team.Members	Collaborative.teams	5
0	0.5	Collaborative.teams	90	District.Contact.Person	Collaborative.teams	38
0	0.5	Collaborative.teams	90	Building.Leadership.Team.Members	Collaborative.teams	71
0	0.5	Collaborative.teams	90	Other.District.Administrators	Collaborative.teams	104
0	0.5	Collaborative.teams	90	Other.Building.Administrators	Collaborative.teams	137
0	0.5	Collaborative.teams	90	Building.level.Educators	Collaborative.teams	170
0	0.5	Collaborative.teams	90	RPDC.Director	Collaborative.teams	203
0	0.5	Collaborative.teams	90	Area.Supervisor	Collaborative.teams	236
0	0.5	Collaborative.teams	90	Parents	Collaborative.teams	269
0	0.5	Collaborative.teams	90	Collaborative.teams	Collaborative.teams	302
0	0.5	Collaborative.teams	90	Common.formative.assessment	Collaborative.teams	335
0	0.5	Collaborative.teams	90	Data.based.decision.making	Collaborative.teams	368
0	0.5	Collaborative.teams	90	Effective.teaching.learning.practices	Collaborative.teams	401
0	0.5	Collaborative.teams	90	Instructional.Leadership	Collaborative.teams	434
0	0.5	Collaborative.teams	90	School.based.implementation.coaching	Collaborative.teams	467
0	0.5	Collaborative.teams	90	Collective.teacher.efficacy	Collaborative.teams	500
0	0.5	Collaborative.teams	90	MMD.DCI.expectations.logistics.DESE.specifics	Collaborative.teams	533
0	0.5	Collaborative.teams	90	Alignment.and.systems.planning	Collaborative.teams	566
0	0.5	Collaborative.teams	90	Practice.profiles	Collaborative.teams	599
0	0.5	Collaborative.teams	90	Self.assessment.practice.profile..SAPP.	Collaborative.teams	632
0	0.5	Collaborative.teams	90	Learning.module.materials..i.e..power.points..handouts.	Collaborative.teams	665
0	0.5	Collaborative.teams	90	DESE.virtual.learning.platform	Collaborative.teams	698
0	0.5	Collaborative.teams	90	Review.of.CFA.data	Collaborative.teams	731
0	0.5	Collaborative.teams	90	CWIS	Collaborative.teams	764
0	0.5	Collaborative.teams	90	Distance.Learning	Collaborative.teams	797
0	0.5	Collaborative.teams	90	Virtual.Learning.Modules.and.or.PowerPoints	Collaborative.teams	830
0	0.5	Collaborative.teams	90	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	Collaborative.teams	863
