x	y	label	showSelected1	showSelected2	group
3.5	0	Interaction.Type_Phone	Interaction.Type_Phone	Area.Supervisor	992
1	0	Interaction.Type_Unknown	Interaction.Type_Unknown	Area.Supervisor	1025
3.71428571428572	0	ETLP_avg	ETLP_avg	Area.Supervisor	1058
0.5	0	District.Leadership.Team.Members	District.Leadership.Team.Members	Parents	27
0.5	0	District.Contact.Person	District.Contact.Person	Parents	60
0.5	0	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Parents	93
0.5	0	Other.District.Administrators	Other.District.Administrators	Parents	126
0.5	0	Other.Building.Administrators	Other.Building.Administrators	Parents	159
0.5	0	Building.level.Educators	Building.level.Educators	Parents	192
0.5	0	RPDC.Director	RPDC.Director	Parents	225
0.25	0	Area.Supervisor	Area.Supervisor	Parents	258
0.0833333333333335	0	Parents	Parents	Parents	291
0.5	0	Collaborative.teams	Collaborative.teams	Parents	324
0.5	0	Common.formative.assessment	Common.formative.assessment	Parents	357
0.5	0	Data.based.decision.making	Data.based.decision.making	Parents	390
0.5	0	Effective.teaching.learning.practices	Effective.teaching.learning.practices	Parents	423
0.5	0	Instructional.Leadership	Instructional.Leadership	Parents	456
0.5	0	School.based.implementation.coaching	School.based.implementation.coaching	Parents	489
0.25	0	Collective.teacher.efficacy	Collective.teacher.efficacy	Parents	522
0.5	0	MMD.DCI.expectations.logistics.DESE.specifics	MMD.DCI.expectations.logistics.DESE.specifics	Parents	555
0.5	0	Alignment.and.systems.planning	Alignment.and.systems.planning	Parents	588
0.5	0	Practice.profiles	Practice.profiles	Parents	621
0.5	0	Self.assessment.practice.profile..SAPP.	Self.assessment.practice.profile..SAPP.	Parents	654
0.5	0	Learning.module.materials..i.e..power.points..handouts.	Learning.module.materials..i.e..power.points..handouts.	Parents	687
0.5	0	DESE.virtual.learning.platform	DESE.virtual.learning.platform	Parents	720
0.5	0	Review.of.CFA.data	Review.of.CFA.data	Parents	753
0.5	0	CWIS	CWIS	Parents	786
0.375	0	Distance.Learning	Distance.Learning	Parents	819
0.5	0	Virtual.Learning.Modules.and.or.PowerPoints	Virtual.Learning.Modules.and.or.PowerPoints	Parents	852
0.25	0	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	Parents	885
31	0	Interaction.Type_Virtual	Interaction.Type_Virtual	Parents	918
58.5	0	Interaction.Type_In-person	Interaction.Type_In-person	Parents	951
3	0	Interaction.Type_In-person and virtual	Interaction.Type_In-person and virtual	Parents	984
3.5	0	Interaction.Type_Phone	Interaction.Type_Phone	Parents	1017
1	0	Interaction.Type_Unknown	Interaction.Type_Unknown	Parents	1050
3.71428571428572	0	ETLP_avg	ETLP_avg	Parents	1083
0.5	0	District.Leadership.Team.Members	District.Leadership.Team.Members	Collaborative.teams	5
0.5	0	District.Contact.Person	District.Contact.Person	Collaborative.teams	38
0.5	0	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Collaborative.teams	71
0.5	0	Other.District.Administrators	Other.District.Administrators	Collaborative.teams	104
0.5	0	Other.Building.Administrators	Other.Building.Administrators	Collaborative.teams	137
0.5	0	Building.level.Educators	Building.level.Educators	Collaborative.teams	170
0.5	0	RPDC.Director	RPDC.Director	Collaborative.teams	203
0.25	0	Area.Supervisor	Area.Supervisor	Collaborative.teams	236
0.0833333333333335	0	Parents	Parents	Collaborative.teams	269
0.5	0	Collaborative.teams	Collaborative.teams	Collaborative.teams	302
0.5	0	Common.formative.assessment	Common.formative.assessment	Collaborative.teams	335
0.5	0	Data.based.decision.making	Data.based.decision.making	Collaborative.teams	368
0.5	0	Effective.teaching.learning.practices	Effective.teaching.learning.practices	Collaborative.teams	401
0.5	0	Instructional.Leadership	Instructional.Leadership	Collaborative.teams	434
0.5	0	School.based.implementation.coaching	School.based.implementation.coaching	Collaborative.teams	467
0.25	0	Collective.teacher.efficacy	Collective.teacher.efficacy	Collaborative.teams	500
0.5	0	MMD.DCI.expectations.logistics.DESE.specifics	MMD.DCI.expectations.logistics.DESE.specifics	Collaborative.teams	533
0.5	0	Alignment.and.systems.planning	Alignment.and.systems.planning	Collaborative.teams	566
0.5	0	Practice.profiles	Practice.profiles	Collaborative.teams	599
0.5	0	Self.assessment.practice.profile..SAPP.	Self.assessment.practice.profile..SAPP.	Collaborative.teams	632
0.5	0	Learning.module.materials..i.e..power.points..handouts.	Learning.module.materials..i.e..power.points..handouts.	Collaborative.teams	665
0.5	0	DESE.virtual.learning.platform	DESE.virtual.learning.platform	Collaborative.teams	698
0.5	0	Review.of.CFA.data	Review.of.CFA.data	Collaborative.teams	731
0.5	0	CWIS	CWIS	Collaborative.teams	764
