group	x
1768	0
1769	6
1770	6
1771	2
1772	5
1773	5
1774	2
1775	3
1776	7
1777	4
1778	0
1779	2
1780	1
1781	1
1782	69
1783	19
1784	43
1785	1
1786	0
1787	10
1788	18
1789	20
1790	8
1791	60
1792	1
1793	79
1794	39
1795	24
1796	0
1797	0
1798	33
1799	0
1800	3
1801	3
1802	13
1803	4
1804	15
1805	8
1806	3
1807	8
1808	5
1809	2
1810	3
1811	7
1812	9
1813	0
1814	0
1815	13
1816	4
1817	1
1818	0
1819	9
1820	0
1821	18
1822	4
1823	4
1824	2
1825	3
1826	1
1827	5
1828	0
1829	12
1830	2
1831	2
1832	9
1833	7
1834	0
1835	1
1836	0
1837	1
1838	0
1839	4
1840	2
1841	4
1842	23
1843	8
1844	2
1845	3
1846	6
1847	4
1848	7
1849	3
1850	3
1851	0
1852	5
1853	3
1854	1
1855	1
1856	7
1857	4
1858	1
1859	3
1860	0
1861	10
1862	1
1863	6
1864	7
1865	12
1866	5
1867	7
1868	2
1869	11
1870	2
1871	10
1872	4
1873	4
1874	14
1875	10
1876	27
1877	0
1878	4
1879	1
1880	1
1881	1
1882	5
1883	4
1884	2
1885	0
1886	2
1887	1
1888	10
1889	3
1890	2
1891	21
1892	4
1893	6
1894	4
1895	0
1896	9
1897	1
1898	12
1899	25
1900	0
1901	0
1902	1
1903	12
1904	1
1905	2
1906	1
1907	9
1908	2
1909	5
1910	3
1911	4
1912	3
1913	1
1914	4
1915	12
1916	1
1917	32
1918	22
1919	15
1920	7
1921	6
1922	4
1923	1
1924	6
1925	1
1926	0
1927	7
1928	3
1929	0
1930	4
1931	12
1932	4
1933	6
1934	26
1935	33
1936	3
1937	1
1938	1
1939	1
1940	11
1941	4
1942	4
1943	10
1944	1
1945	0
1946	6
1947	7
1948	1
1949	0
1950	1
1951	6
1952	4
1953	22
1954	4
1955	0
1956	27
1957	4
1958	0
1959	13
1960	0
1961	25
1962	1
1963	3
1964	4
1965	0
1966	6
1967	3
1968	2
1969	4
1970	3
1971	5
1972	5
1973	9
1974	6
1975	3
1976	2
1977	3
1978	12
1979	3
1980	1
1981	3
1982	0
1983	5
1984	2
1985	2
1986	1
1987	4
1988	4
1989	3
1990	1
1991	7
1992	2
1993	17
1994	6
1995	3
1996	1
1997	15
1998	32
1999	2
2000	2
2001	16
2002	13
2003	5
2004	1
2005	7
2006	5
2007	6
2008	13
2009	5
2010	9
2011	3
2012	3
2013	2
2014	0
2015	0
2016	2
2017	2
2018	10
2019	6
2020	18
2021	7
2022	2
2023	1
2024	8
2025	6
2026	15
2027	4
2028	5
2029	3
2030	3
2031	4
2032	0
2033	7
2034	15
2035	3
2036	18
2037	18
2038	6
2039	8
2040	6
2041	0
2042	8
2043	3
2044	5
2045	1
2046	10
2047	2
2048	11
2049	4
2050	2
2051	33
2052	20
2053	1
2054	1
2055	1
2056	9
2057	4
2058	12
2059	9
2060	18
2061	2
2062	11
2063	23
2064	14
2065	7
2066	5
2067	5
2068	1
2069	12
2070	12
2071	7
2072	3
2073	18
2074	7
2075	22
2076	5
2077	3
2078	5
2079	7
2080	4
2081	11
2082	1
2083	6
2084	2
2085	3
2086	1
2087	4
2088	5
2089	7
2090	2
2091	17
2092	1
2093	79
2094	57
2095	5
2096	13
2097	1
2098	1
2099	6
2100	2
2101	5
2102	1
2103	16
2104	1
2105	6
2106	2
2107	9
2108	5
2109	7
2110	8
2111	4
2112	4
2113	12
2114	5
2115	2
2116	3
2117	8
2118	4
2119	6
2120	1
2121	4
2122	1
2123	0
2124	2
2125	3
2126	5
2127	12
2128	5
2129	2
2130	0
2131	28
2132	19
2133	13
2134	4
2135	28
2136	4
2137	4
2138	0
2139	21
2140	3
2141	117
2142	59
2143	5
2144	3
2145	3
2146	15
2147	2
2148	0
2149	5
2150	2
2151	10
2152	19
2153	12
2154	40
2155	11
2156	5
2157	4
2158	12
2159	3
2160	20
2161	4
2162	1
2163	11
2164	7
2165	1
2166	50
2167	7
2168	15
2169	6
2170	9
2171	12
2172	14
2173	7
2174	5
2175	3
2176	5
2177	1
2178	2
2179	3
2180	2
2181	0
2182	4
2183	1
2184	21
2185	50
2186	0
2187	0
2188	0
2189	3
2190	7
2191	1
2192	0
2193	3
2194	8
2195	4
2196	3
2197	4
2198	0
2199	1
2200	11
2201	1
2202	23
2203	0
2204	4
2205	7
2206	6
2207	4
2208	2
2209	7
2210	5
2211	1
2212	7
2213	8
2214	2
2215	2
2216	2
2217	1
2218	4
2219	3
2220	2
2221	4
2222	4
2223	4
2224	0
2225	7
2226	3
2227	3
2228	3
2229	16
2230	11
2231	55
2232	19
2233	5
2234	1
2235	3
2236	10
2237	7
2238	27
2239	1
2240	2
2241	6
2242	2
2243	14
2244	4
2245	3
2246	4
2247	4
2248	2
2249	1
2250	1
2251	6
2252	1
2253	18
2254	0
2255	25
2256	8
2257	3
2258	2
2259	9
2260	10
2261	11
2262	2
2263	0
2264	0
2265	13
2266	2
2267	16
2268	2
2269	1
2270	11
2271	4
2272	5
2273	0
2274	8
2275	19
2276	15
2277	9
2278	1
2279	1
2280	6
2281	2
2282	9
2283	19
2284	3
2285	7
2286	13
2287	5
2288	2
2289	2
2290	3
2291	2
2292	0
2293	43
2294	12
2295	3
2296	63
2297	9
2298	47
2299	0
2300	8
2301	6
2302	3
2303	8
2304	4
2305	2
2306	6
2307	5
2308	13
2309	17
2310	4
2311	5
2312	0
2313	6
2314	6
2315	2
2316	5
2317	5
2318	2
2319	3
2320	7
2321	4
2322	0
2323	2
2324	1
2325	1
2326	69
2327	19
2328	43
2329	1
2330	0
2331	10
2332	18
2333	20
2334	8
2335	60
2336	1
2337	79
2338	39
2339	24
2340	0
2341	0
2342	33
2343	0
2344	3
2345	3
2346	13
2347	4
2348	15
2349	8
2350	3
2351	8
2352	5
2353	2
2354	3
2355	7
2356	9
2357	0
2358	0
2359	13
2360	4
2361	1
2362	0
2363	9
2364	0
2365	18
2366	4
2367	4
2368	2
2369	3
2370	1
2371	5
2372	0
2373	12
2374	2
2375	2
2376	9
2377	7
2378	0
2379	1
2380	0
2381	1
2382	0
2383	4
2384	2
2385	4
2386	23
2387	8
2388	2
2389	3
2390	6
2391	4
2392	7
2393	3
2394	3
2395	0
2396	5
2397	3
2398	1
2399	1
2400	7
2401	4
2402	1
2403	3
2404	0
2405	10
2406	1
2407	6
2408	7
2409	12
2410	5
2411	7
2412	2
2413	11
2414	2
2415	10
2416	4
2417	4
2418	14
2419	10
2420	27
2421	0
2422	4
2423	1
2424	1
2425	1
2426	5
2427	4
2428	2
2429	0
2430	2
2431	1
2432	10
2433	3
2434	2
2435	21
2436	4
2437	6
2438	4
2439	0
2440	9
2441	1
2442	12
2443	25
2444	0
2445	0
2446	1
2447	12
2448	1
2449	2
2450	1
2451	9
2452	2
2453	5
2454	3
2455	4
2456	3
2457	1
2458	4
2459	12
2460	1
2461	32
2462	22
2463	15
2464	7
2465	6
2466	4
2467	1
2468	6
2469	1
2470	0
2471	7
2472	3
2473	0
2474	4
2475	12
2476	4
2477	6
2478	26
2479	33
2480	3
2481	1
2482	1
2483	1
2484	11
2485	4
2486	4
2487	10
2488	1
2489	0
2490	6
2491	7
2492	1
2493	0
2494	1
2495	6
2496	4
2497	22
2498	4
2499	0
2500	27
2501	4
2502	0
2503	13
2504	0
2505	25
2506	1
2507	3
2508	4
2509	0
2510	6
2511	3
2512	2
2513	4
2514	3
2515	5
2516	5
2517	9
2518	6
2519	3
2520	2
2521	3
2522	12
2523	3
2524	1
2525	3
2526	0
2527	5
2528	2
2529	2
2530	1
2531	4
2532	4
2533	3
2534	1
2535	7
2536	2
2537	17
2538	6
2539	3
2540	1
2541	15
2542	32
2543	2
2544	2
2545	16
2546	13
2547	5
2548	1
2549	7
2550	5
2551	6
2552	13
2553	5
2554	9
2555	3
2556	3
2557	2
2558	0
2559	0
2560	2
2561	2
2562	10
2563	6
2564	18
2565	7
2566	2
2567	1
2568	8
2569	6
2570	15
2571	4
2572	5
2573	3
2574	3
2575	4
2576	0
2577	7
2578	15
2579	3
2580	18
2581	18
2582	6
2583	8
2584	6
2585	0
2586	8
2587	3
2588	5
2589	1
2590	10
2591	2
2592	11
2593	4
2594	2
2595	33
2596	20
2597	1
2598	1
2599	1
2600	9
2601	4
2602	12
2603	9
2604	18
2605	2
2606	11
2607	23
2608	14
2609	7
2610	5
2611	5
2612	1
2613	12
2614	12
2615	7
2616	3
2617	18
2618	7
2619	22
2620	5
2621	3
2622	5
2623	7
2624	4
2625	11
2626	1
2627	6
2628	2
2629	3
2630	1
2631	4
2632	5
2633	7
2634	2
2635	17
2636	1
2637	79
2638	57
2639	5
2640	13
2641	1
2642	1
2643	6
2644	2
2645	5
2646	1
2647	16
2648	1
2649	6
2650	2
2651	9
2652	5
2653	7
2654	8
2655	4
2656	4
2657	12
2658	5
2659	2
2660	3
2661	8
2662	4
2663	6
2664	1
2665	4
2666	1
2667	0
2668	2
2669	3
2670	5
2671	12
2672	5
2673	2
2674	0
2675	28
2676	19
2677	13
2678	4
2679	28
2680	4
2681	4
2682	0
2683	21
2684	3
2685	117
2686	59
2687	5
2688	3
2689	3
2690	15
2691	2
2692	0
2693	5
2694	2
2695	10
2696	19
2697	12
2698	40
2699	11
2700	5
2701	4
2702	12
2703	3
2704	20
2705	4
2706	1
2707	11
2708	7
2709	1
2710	50
2711	7
2712	15
2713	6
2714	9
2715	12
2716	14
2717	7
2718	5
2719	3
2720	5
2721	1
2722	2
2723	3
2724	2
2725	0
2726	4
2727	1
2728	21
2729	50
2730	0
2731	0
2732	0
2733	3
2734	7
2735	1
2736	0
2737	3
2738	8
2739	4
2740	3
2741	4
2742	0
2743	1
2744	11
2745	1
2746	23
2747	0
2748	4
2749	7
2750	6
2751	4
2752	2
2753	7
2754	5
2755	1
2756	7
2757	8
2758	2
2759	2
2760	2
2761	1
2762	4
2763	3
2764	2
2765	4
2766	4
2767	4
2768	0
2769	7
2770	3
2771	3
2772	3
2773	16
2774	11
2775	55
2776	19
2777	5
2778	1
2779	3
2780	10
2781	7
2782	27
2783	1
2784	2
2785	6
2786	2
2787	14
2788	4
2789	3
2790	4
2791	4
2792	2
2793	1
2794	1
2795	6
2796	1
2797	18
2798	0
2799	25
2800	8
2801	3
2802	2
2803	9
2804	10
2805	11
2806	2
2807	0
2808	0
2809	13
2810	2
2811	16
2812	2
2813	1
2814	11
2815	4
2816	5
2817	0
2818	8
2819	19
2820	15
2821	9
2822	1
2823	1
2824	6
2825	2
2826	9
2827	19
2828	3
2829	7
2830	13
2831	5
2832	2
2833	2
2834	3
2835	2
2836	0
2837	43
2838	12
2839	3
2840	63
2841	9
2842	47
2843	0
2844	8
2845	6
2846	3
2847	8
2848	4
2849	2
2850	6
2851	5
2852	13
2853	17
2854	4
2855	5
2856	0
2857	6
2858	6
2859	2
2860	5
2861	5
2862	2
2863	3
2864	7
2865	4
2866	0
2867	2
2868	1
2869	1
2870	69
2871	19
2872	43
2873	1
2874	0
2875	10
2876	18
2877	20
2878	8
2879	60
2880	1
2881	79
2882	39
2883	24
2884	0
2885	0
2886	33
2887	0
2888	3
2889	3
2890	13
2891	4
2892	15
2893	8
2894	3
2895	8
2896	5
2897	2
2898	3
2899	7
2900	9
2901	0
2902	0
2903	13
2904	4
2905	1
2906	0
2907	9
2908	0
2909	18
2910	4
2911	4
2912	2
2913	3
2914	1
2915	5
2916	0
2917	12
2918	2
2919	2
2920	9
2921	7
2922	0
2923	1
2924	0
2925	1
2926	0
2927	4
2928	2
2929	4
2930	23
2931	8
2932	2
2933	3
2934	6
2935	4
2936	7
2937	3
2938	3
2939	0
2940	5
2941	3
2942	1
2943	1
2944	7
2945	4
2946	1
2947	3
2948	0
2949	10
2950	1
2951	6
2952	7
2953	12
2954	5
2955	7
2956	2
2957	11
2958	2
2959	10
2960	4
2961	4
2962	14
2963	10
2964	27
2965	0
2966	4
2967	1
2968	1
2969	1
2970	5
2971	4
2972	2
2973	0
2974	2
2975	1
2976	10
